formulation,axis,slice_direction,coordinate_m,x_m,y_m,u_parallel_m_s,u_tangential_m_s,u_x_m_s,u_y_m_s
brinkman_usfem_pkpk_k1,x,flux,0.0001563457,0.0001563457,0.00036505,5.080080094044975e-09,-1.2230138804240213e-08,5.080080094044975e-09,-1.2230138804240213e-08
brinkman_usfem_pkpk_k1,x,flux,0.0001587446,0.0001587446,0.00036505,1.8625564339289206e-08,-2.8400737397556998e-08,1.8625564339289206e-08,-2.8400737397556998e-08
brinkman_usfem_pkpk_k1,x,flux,0.00016114350000000002,0.00016114350000000002,0.00036505,3.281209815198129e-08,-4.509896188385432e-08,3.281209815198129e-08,-4.509896188385432e-08
brinkman_usfem_pkpk_k1,x,flux,0.0001635424,0.0001635424,0.00036505,4.699863196467321e-08,-6.179718637015146e-08,4.699863196467321e-08,-6.179718637015146e-08
brinkman_usfem_pkpk_k1,x,flux,0.0001659413,0.0001659413,0.00036505,6.118516577736529e-08,-7.849541085644877e-08,6.118516577736529e-08,-7.849541085644877e-08
brinkman_usfem_pkpk_k1,x,flux,0.00016834020000000002,0.00016834020000000002,0.00036505,8.80271018915711e-08,-1.2991359116024345e-07,8.80271018915711e-08,-1.2991359116024345e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001707391,0.0001707391,0.00036505,1.230046537710348e-07,-2.0365174306099876e-07,1.230046537710348e-07,-2.0365174306099876e-07
brinkman_usfem_pkpk_k1,x,flux,0.000173138,0.000173138,0.00036505,1.5798220565049885e-07,-2.7738989496175484e-07,1.5798220565049885e-07,-2.7738989496175484e-07
brinkman_usfem_pkpk_k1,x,flux,0.00017553690000000002,0.00017553690000000002,0.00036505,1.9295975752996297e-07,-3.51128046862511e-07,1.9295975752996297e-07,-3.51128046862511e-07
brinkman_usfem_pkpk_k1,x,flux,0.00017793580000000003,0.00017793580000000003,0.00036505,2.2810172624136903e-07,-4.0764745554458396e-07,2.2810172624136903e-07,-4.0764745554458396e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001803347,0.0001803347,0.00036505,2.63709542643278e-07,-4.153804251070589e-07,2.63709542643278e-07,-4.153804251070589e-07
brinkman_usfem_pkpk_k1,x,flux,0.00018273360000000002,0.00018273360000000002,0.00036505,2.993173590451874e-07,-4.231133946695341e-07,2.993173590451874e-07,-4.231133946695341e-07
brinkman_usfem_pkpk_k1,x,flux,0.00018513250000000002,0.00018513250000000002,0.00036505,3.349251754470968e-07,-4.308463642320091e-07,3.349251754470968e-07,-4.308463642320091e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001875314,0.0001875314,0.00036505,3.705329918490057e-07,-4.385793337944841e-07,3.705329918490057e-07,-4.385793337944841e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001899303,0.0001899303,0.00036505,3.836487757018541e-07,-3.911517390155788e-07,3.836487757018541e-07,-3.911517390155788e-07
brinkman_usfem_pkpk_k1,x,flux,0.00019232920000000002,0.00019232920000000002,0.00036505,3.9462246121669676e-07,-3.384707571565424e-07,3.9462246121669676e-07,-3.384707571565424e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001947281,0.0001947281,0.00036505,4.055961467315393e-07,-2.857897752975066e-07,4.055961467315393e-07,-2.857897752975066e-07
brinkman_usfem_pkpk_k1,x,flux,0.000197127,0.000197127,0.00036505,4.16569832246382e-07,-2.3310879343847022e-07,4.16569832246382e-07,-2.3310879343847022e-07
brinkman_usfem_pkpk_k1,x,flux,0.00019952590000000002,0.00019952590000000002,0.00036505,4.113123654416451e-07,-1.9356933429369565e-07,4.113123654416451e-07,-1.9356933429369565e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002019248,0.0002019248,0.00036505,3.935693968526169e-07,-1.6413873877527688e-07,3.935693968526169e-07,-1.6413873877527688e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002043237,0.0002043237,0.00036505,3.7582642826358846e-07,-1.3470814325685785e-07,3.7582642826358846e-07,-1.3470814325685785e-07
brinkman_usfem_pkpk_k1,x,flux,0.00020672260000000002,0.00020672260000000002,0.00036505,3.5808345967456e-07,-1.0527754773843874e-07,3.5808345967456e-07,-1.0527754773843874e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002091215,0.0002091215,0.00036505,3.3600316850146404e-07,-8.15442492004782e-08,3.3600316850146404e-07,-8.15442492004782e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002115204,0.0002115204,0.00036505,2.9830851602572317e-07,-7.832121979216614e-08,2.9830851602572317e-07,-7.832121979216614e-08
brinkman_usfem_pkpk_k1,x,flux,0.00021391930000000002,0.00021391930000000002,0.00036505,2.6061386354998234e-07,-7.509819038385407e-08,2.6061386354998234e-07,-7.509819038385407e-08
