case,match_status,reference_pore_pair,native_full_pore_pair,min_native_overlap_fraction,min_reference_overlap_fraction,native_throat_index,native_radius_vx,native_area_vx2,native_shape_factor,native_shape_factor_raw,native_length_vx,native_core_length_vx,native_pore1_length_vx,native_pore2_length_vx,native_equivalent_conductance_mu1,reference_throat_index,reference_radius_vx,reference_area_vx2,reference_shape_factor,reference_shape_factor_raw,reference_length_vx,reference_core_length_vx,reference_pore1_length_vx,reference_pore2_length_vx,reference_equivalent_conductance_mu1,radius_vx_rel_diff,radius_vx_signed_ratio,area_vx2_rel_diff,area_vx2_signed_ratio,shape_factor_rel_diff,shape_factor_signed_ratio,length_vx_rel_diff,length_vx_signed_ratio,core_length_vx_rel_diff,core_length_vx_signed_ratio,pore1_length_vx_rel_diff,pore1_length_vx_signed_ratio,pore2_length_vx_rel_diff,pore2_length_vx_signed_ratio,equivalent_conductance_mu1_rel_diff,equivalent_conductance_mu1_signed_ratio
phi041_b20,native_only,14-60,14-60,0.3476482617586912,0.5470588235294118,54.0,0.5,5.0,0.0125,0.0125,26.540311677073426,8.75830285343423,14.846208270127427,2.9358005535117684,1.2850118243148258e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
phi041_b20,native_only,14-65,14-65,0.3476482617586912,0.676829268292683,55.0,0.5,3.5805230174502567,0.017455550402942856,0.017455550402942856,27.884043534026937,9.201734366228887,14.701578721008163,3.980730446789885,9.231499907209571e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
phi041_b20,native_only,14-66,14-66,0.3476482617586912,0.7112970711297071,56.0,0.5,2.0,0.03125,0.03125,27.989402807443245,9.236502926456268,14.818670378276185,3.9342295027107914,5.580874929693915e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
phi041_b20,matched,15-17,15-17,0.6461538461538462,0.8258317025440313,57.0,0.5,3.0,0.020833333333333332,0.020833333333333332,14.01858220588951,4.626132127943537,5.793090597427251,3.5993594805187215,1.5270653271716407e-16,159.0,0.49920825,2.228991934664442,0.02795085,0.02795085,15.7408285,5.194475,4.4439985,6.102355,1.0700276423788454e-16,0.00158349999999996,1.0015860114491297,0.257002688445186,1.345899890145465,0.25464401500014017,0.7453559849998599,0.10941268397089067,0.8905873160291093,0.10941295743197589,0.8905870425680241,0.2328795096051823,1.3035761819962925,0.41016878229491377,0.5898312177050862,0.2992915081369172,1.4271269887726696
phi041_b20,matched,15-21,15-21,0.6381909547738693,0.7195467422096318,58.0,0.5,1.7094609271019432,0.036561233432785466,0.036561233432785466,29.421419922424473,9.709068574400073,8.239098723768276,11.473252624256123,4.535809318946647e-17,91.0,0.49933465000000005,4.677942668288848,0.01332504,0.01332504,13.615071000000002,4.492973500000001,4.8307035,4.291394,2.1917340743346698e-16,0.001330699999999907,1.0013324731219833,0.6345699277825374,0.36543007221746254,0.6355418362868724,2.74379915053054,0.5372394997964445,2.160945023527565,0.5372394925866899,2.1609449898602944,0.41368544522177964,1.7055691213025754,0.6259653525864697,2.6735491134713154,0.7930492858572018,0.2069507141427982
phi041_b20,matched,15-22,15-22,0.6461538461538462,0.8895705521472392,59.0,0.5,2.303764546293525,0.02712950856916122,0.02712950856916122,8.17808683665074,2.698768656094744,2.7429361403430437,2.7363820402129524,2.1460714918856044e-16,73.0,0.500202,2.229641991248326,0.02805406,0.02805406,10.5739165,3.4893925,3.6686945000000004,3.4158295,1.5935999697904118e-16,0.0004038368499127062,0.9995961631500873,0.032174535876269485,1.033244151005471,0.03295606521262081,0.9670439347873792,0.22657921152954624,0.7734207884704538,0.22657922372024814,0.7734207762797518,0.2523399971452942,0.7476600028547058,0.19891140930396195,0.8010885906960381,0.25743388521030774,1.3466814335895432
phi041_b20,native_only,15-37,15-37,0.6461538461538462,0.6787330316742082,60.0,0.5,2.0,0.03125,0.03125,16.976512413338806,5.602249096401804,6.155991210195156,5.218272106741847,9.092008026986522e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
phi041_b20,matched,16-17,16-17,0.8651685393258427,0.6350515463917525,61.0,0.5,3.0703236997953227,0.020356159842093016,0.020356159842093016,17.413728412985392,5.74653037628518,7.9974569014156005,3.669741135284613,1.4393029062592647e-16,95.0,0.50017,1.9064512903542434,0.03280572,0.03280572,17.4162005,5.747345,7.997350000000001,3.6715055000000003,9.210842901191934e-17,0.0003398844392906481,0.9996601155607093,0.37907156483815263,1.6104915532485578,0.3794935809336598,0.6205064190663402,0.00014194180955864725,0.9998580581904414,0.00014173913603939356,0.9998582608639606,1.3366926126321e-05,1.0000133671048035,0.00048055619564980174,0.9995194438043502,0.3600483358203707,1.5626180162870988
phi041_b20,matched,16-18,16-18,0.4257425742574257,0.6350515463917525,62.0,0.5,1.0,0.0625,0.0625,8.319068427552025,2.7452925810921682,4.0400611109239435,1.5337147355359142,9.899711085360717e-17,51.0,0.49635485000000007,0.9854725484740902,0.0625,0.0625,8.1641835,2.6941805,3.97187,1.498133,9.714670200598709e-17,0.007290299999999861,1.0073438387879154,0.01452745152590984,1.0147416095439739,0.0,1.0,0.018618061493407136,1.0189712697604145,0.018618081527701606,1.018971290562072,0.01687873253688197,1.0171685153149381,0.023199708988569642,1.0237507187518826,0.018691543941685193,1.0190475724796715
phi041_b20,matched,16-24,16-24,0.8206521739130435,0.6350515463917525,63.0,0.5,1.8026283929247273,0.03467159412628303,0.03467159412628303,9.680756323369712,3.1946495867120044,4.342096267933266,2.1440104687244412,1.5837005572475778e-16,74.0,0.49720480000000006,2.4221788654810883,0.02551552,0.02551552,14.7498675,4.8674565,6.401355,3.481056,1.3281164872655237e-16,0.005590399999999884,1.0056218282687535,0.2557822964214937,0.7442177035785064,0.26407998700418017,1.35884332854212,0.3436716415676472,0.6563283584323528,0.3436716719066715,0.6563283280933284,0.32169106885444304,0.6783089311455569,0.38409193396359004,0.61590806603641,0.16138408792774012,1.1924410038070377
